Year,Casualties
0,1400,0.85519463
1,1401,0.8545807
2,1402,1.3246835
3,1403,0.54717255
4,1404,0.086327225
5,1405,0.28560558
6,1406,1.4004397
7,1407,3.9506245
8,1408,1.5220418
9,1409,2.0427468
10,1410,1.9549598
11,1411,1.7836183
12,1412,1.5871717
13,1413,1.7377894
14,1414,1.8627161
15,1415,2.5105445
16,1416,2.4281852
17,1417,2.3914182
18,1418,2.3761246
19,1419,3.6551802
20,1420,2.7388353
21,1421,2.7355888
22,1422,2.7322869
23,1423,2.5784266
24,1424,2.5752041
25,1425,1.1282303
26,1426,1.4066439
27,1427,1.4047976
28,1428,2.2652402
29,1429,1.8639547
30,1430,1.8613936
31,1431,1.0000323
32,1432,0.99861807
33,1433,1.1951796
34,1434,1.9842651
35,1435,1.6377175
36,1436,0.64967418
37,1437,0.6314702
38,1438,0.63443416
39,1439,0.65797824
40,1440,0.75098264
41,1441,0.7497912
42,1442,2.3422434
43,1443,2.3140712
44,1444,2.5535827
45,1445,2.0716336
46,1446,1.5783149
47,1447,1.5562744
48,1448,1.5536114
49,1449,8.4921827
50,1450,8.4773607
51,1451,0.64910626
52,1452,0.6479516
53,1453,0.64678836
54,1454,2.1042316
55,1455,0.57976186
56,1456,0.57869291
57,1457,0.3683553
58,1458,0.33918238
59,1459,2.8970861
60,1460,2.7024033
61,1461,3.1692038
62,1462,1.7027224
63,1463,0.57101667
64,1464,0.56989413
65,1465,3.0133245
66,1466,1.9089892
67,1467,1.4293923
68,1468,1.5894223
69,1469,1.1581432
70,1470,1.1557685
71,1471,1.5951971
72,1472,1.672676
73,1473,1.1508847
74,1474,1.7576159
75,1475,4.0247798
76,1476,3.8749511
77,1477,2.3591886
78,1478,1.8609065
79,1479,0.48418039
80,1480,1.6245472
81,1481,1.369657
82,1482,1.6784214
83,1483,1.7310637
84,1484,0.84250468
85,1485,0.86626947
86,1486,0.38759285
87,1487,0.33086455
88,1488,0.57976955
89,1489,2.2686784
90,1490,2.3670342
91,1491,0.67910784
92,1492,0.65229756
93,1493,0.22828887
94,1494,0.54960728
95,1495,2.8421364
96,1496,0.88801998
97,1497,1.2643108
98,1498,0.84027487
99,1499,0.50695091
100,1500,6.401258
101,1501,6.3210793
102,1502,6.9341292
103,1503,6.1831374
104,1504,0.97317505
105,1505,0.25698179
106,1506,1.6449668
107,1507,0.76720625
108,1508,2.7070293
109,1509,1.4074742
110,1510,1.6850562
111,1511,1.3781174
112,1512,4.5373788
113,1513,4.279861
114,1514,5.1262112
115,1515,4.6643457
116,1516,4.8266473
117,1517,1.0832127
118,1518,1.0326415
119,1519,7.693687
120,1520,7.3767118
121,1521,10.08392
122,1522,14.53096
123,1523,4.2561312
124,1524,20.143824
125,1525,32.535534
126,1526,19.663414
127,1527,12.61329
128,1528,3.9070549
129,1529,2.5652583
130,1530,2.6659446
131,1531,2.146992
132,1532,3.1286421
133,1533,3.8904936
134,1534,2.0382838
135,1535,2.1043296
136,1536,8.7554331
137,1537,10.897576
138,1538,4.5636191
139,1539,0.29598388
140,1540,0.38193893
141,1541,22.157631
142,1542,26.844662
143,1543,6.0034165
144,1544,6.8083825
145,1545,0.83235627
146,1546,1.6555716
147,1547,2.8660963
148,1548,2.1296208
149,1549,1.5805542
150,1550,2.5468876
151,1551,4.2934513
152,1552,4.5239549
153,1553,4.2786717
154,1554,4.7898598
155,1555,4.5896959
156,1556,1.6496401
157,1557,3.4162986
158,1558,3.035274
159,1559,3.2599838
160,1560,2.0286386
161,1561,2.5128977
162,1562,4.0047035
163,1563,3.3870118
164,1564,2.0619786
165,1565,2.2456946
166,1566,6.5741844
167,1567,2.8310618
168,1568,2.8716207
169,1569,1.9636441
170,1570,3.6024511
171,1571,9.902215
172,1572,8.2267885
173,1573,8.4269457
174,1574,4.5431881
175,1575,1.205031
176,1576,1.5716926
177,1577,2.264473
178,1578,5.9881849
179,1579,2.5565975
180,1580,5.7709107
181,1581,2.0583048
182,1582,2.4155297
183,1583,1.0296686
184,1584,0.59079492
185,1585,1.0275853
186,1586,1.7548778
187,1587,2.8022544
188,1588,3.5111187
189,1589,3.8202047
190,1590,3.8444629
191,1591,3.3611519
192,1592,3.2211416
193,1593,4.3831944
194,1594,5.8006654
195,1595,5.7613392
196,1596,5.2522788
197,1597,4.5608354
198,1598,4.9022326
199,1599,4.1577182
200,1600,4.7326441
201,1601,4.4156485
202,1602,4.2794499
203,1603,4.1164393
204,1604,4.5128794
205,1605,3.9864893
206,1606,3.9976895
207,1607,2.838165
208,1608,2.2686665
209,1609,2.2688832
210,1610,1.3667964
211,1611,1.3670179
212,1612,1.0288451
213,1613,1.0290725
214,1614,2.1986074
215,1615,2.424998
216,1616,1.5810057
217,1617,2.4852238
218,1618,57.072392
219,1619,64.93988
220,1620,56.800026
221,1621,59.71067
222,1622,58.93689
223,1623,49.695484
224,1624,49.986019
225,1625,80.352539
226,1626,80.386391
227,1627,82.188057
228,1628,82.783615
229,1629,82.954773
230,1630,50.182499
231,1631,50.966122
232,1632,51.652328
233,1633,51.650116
234,1634,51.670067
235,1635,53.781273
236,1636,53.982677
237,1637,55.777287
238,1638,55.430889
239,1639,53.962109
240,1640,53.940819
241,1641,53.979004
242,1642,54.139362
243,1643,54.150364
244,1644,62.79768
245,1645,63.584114
246,1646,63.543549
247,1647,61.813961
248,1648,81.539925
249,1649,27.594894
250,1650,9.6083593
251,1651,13.258165
252,1652,15.570071
253,1653,15.126307
254,1654,12.8616
255,1655,10.497208
256,1656,11.252666
257,1657,14.82476
258,1658,13.333527
259,1659,12.41951
260,1660,11.655088
261,1661,12.302593
262,1662,11.927241
263,1663,4.2907867
264,1664,5.9567156
265,1665,6.9788046
266,1666,5.6299906
267,1667,4.4571385
268,1668,1.5091755
269,1669,1.3268675
270,1670,1.262092
271,1671,1.0803438
272,1672,11.940084
273,1673,11.922097
274,1674,9.0800095
275,1675,8.0268774
276,1676,7.8340378
277,1677,8.2473507
278,1678,8.438818
279,1679,0.98852628
280,1680,0.63200569
281,1681,0.6305843
282,1682,0.20578106
283,1683,4.6195755
284,1684,4.4030037
285,1685,3.9536834
286,1686,3.9427123
287,1687,4.2794213
288,1688,13.983796
289,1689,14.320819
290,1690,13.895231
291,1691,13.848702
292,1692,13.800659
293,1693,14.071032
294,1694,14.018746
295,1695,14.494091
296,1696,15.521684
297,1697,15.458035
298,1698,4.7541251
299,1699,4.5945807
300,1700,6.8577356
301,1701,20.204506
302,1702,20.239468
303,1703,20.92474
304,1704,20.819613
305,1705,20.712549
306,1706,20.603683
307,1707,22.645947
308,1708,22.522112
309,1709,20.140989
310,1710,20.039215
311,1711,20.23698
312,1712,19.060949
313,1713,18.948235
314,1714,20.229176
315,1715,7.3766699
316,1716,8.8755322
317,1717,9.8149357
318,1718,11.278638
319,1719,6.550828
320,1720,6.4353085
321,1721,5.3513126
322,1722,0.29243714
323,1723,0.29055545
324,1729,0.037255809
325,1730,0.037013479
326,1731,0.036773097
327,1733,3.8567507
328,1734,3.8319345
329,1735,3.8073936
330,1736,9.6937475
331,1737,6.6338801
332,1738,6.5921936
333,1739,7.2324138
334,1740,6.471127
335,1741,6.8629222
336,1742,6.8213844
337,1743,5.7832465
338,1744,6.4714007
339,1745,6.5952401
340,1746,4.8109603
341,1747,4.6276183
342,1748,4.601922
343,1749,0.034638353
344,1750,0.034453202
345,1751,0.034272827
346,1752,0.034097105
347,1753,0.033925854
348,1754,0.038747903
349,1755,39.956146
350,1756,54.565777
351,1757,54.309414
352,1758,14.69155
353,1759,14.664795
354,1760,14.561869
355,1761,14.513015
356,1762,14.478366
357,1763,14.807734
358,1764,0.40641692
359,1765,0.78718996
360,1766,0.53358352
361,1767,0.53149837
362,1768,1.2698396
363,1769,1.2650108
364,1770,1.0840143
365,1771,2.9821217
366,1772,2.9376659
367,1773,2.9492509
368,1774,6.2653913
369,1775,3.6264203
370,1776,2.7327373
371,1777,0.52877623
372,1778,1.0171044
373,1779,1.0135628
374,1780,1.2380542
375,1781,1.2946339
376,1782,1.2901641
377,1783,1.2454184
378,1784,0.16731717
379,1785,0.1067131
380,1786,1.9141867
381,1787,3.3823507
382,1788,8.1227789
383,1789,9.0414257
384,1790,8.3174458
385,1791,22.350725
386,1792,28.809019
387,1793,29.930546
388,1794,29.765621
389,1795,29.38306
390,1796,29.030478
391,1797,26.672325
392,1798,38.474613
393,1799,36.330143
394,1800,34.26786
395,1801,33.279587
396,1802,32.422543
397,1803,43.76548
398,1804,45.230251
399,1805,44.7654
400,1806,62.747768
401,1807,48.877853
402,1808,49.022766
403,1809,62.715702
404,1810,51.847794
405,1811,45.156818
406,1812,67.199509
407,1813,73.826973
408,1814,74.02372
409,1815,41.863995
410,1816,6.490355
411,1817,1.6007484
412,1818,9.4260664
413,1819,5.7856498
414,1820,3.3502989
415,1821,6.3066559
416,1822,3.4493549
417,1823,3.1971381
418,1824,3.0680273
419,1825,4.1793532
420,1826,8.8590765
421,1827,5.5888572
422,1828,11.204168
423,1829,9.9380283
424,1830,4.2472882
425,1831,3.0008826
426,1832,2.3534555
427,1833,2.1475034
428,1834,3.2942181
429,1835,0.78112346
430,1836,1.1391444
431,1837,1.310951
432,1838,1.8016567
433,1839,3.7802486
434,1840,3.7609603
435,1841,2.3512914
436,1842,1.7668463
437,1843,2.2312937
438,1844,1.0675726
439,1845,2.1512113
440,1846,2.2250795
441,1847,3.2679532
442,1848,10.163603
443,1849,8.8746281
444,1850,12.357301
445,1851,12.607376
446,1852,13.00073
447,1853,28.246756
448,1854,27.985432
449,1855,27.663528
450,1856,27.807018
451,1857,13.455573
452,1858,13.338688
453,1859,15.708155
454,1860,13.383817
455,1861,25.714697
456,1862,25.290382
457,1863,28.577089
458,1864,38.883987
459,1865,37.384563
