Start,Name of Conflict
0,1000,Norman conquest of southern Italy
1,1001,Battle of Peshawar (1001)
2,1002,German–Polish War
3,1008,Hungarian–Ahtum War
4,1008,Battle of Chach
5,1007,Battle at Herdaler
6,1009,Fitna of al-Andalus
7,1010,Second conflict in the Goryeo–Khitan War
8,1014,Battle of Clontarf
9,1015,Cnut the Great's conquest of England
10,1015,Pisan–Genoese expeditions to Sardinia
11,1015,Byzantine–Georgian wars
12,1016,Battle of Pontlevoy
13,1018,Bolesław I's intervention in the Kievan succession crisis
14,1018,Battle of Vlaardingen
15,1018,Battle of Carham
16,1018,Third conflict in the Goryeo–Khitan War
17,1019,Toi invasion
18,1019,Chola expedition to North India
19,1025,Chola invasion of Srivijaya
20,1030,Battle of Azaz (1030)
21,1030,Battle of Stiklestad
22,1033,The Civil War in Georgia
23,1035,Stefan Vojislav's Uprising
24,1040,Battle of Dandanaqan
25,1040,Uprising of Peter Delyan
26,1040,Czech-Germany war
27,1040,Byzantine–Norman wars
28,1043,Rus'–Byzantine War (1043)
29,1046,Vata pagan uprising
30,1048,Byzantine–Seljuk wars
31,1051,Former Nine Years' War
32,1061,Norman conquest of Sicily
33,1064,Crusade of Barbastro
34,1064,Breton–Norman War
35,1065,War of the Three Sanchos
36,1066,Battle of Stamford Bridge
37,1066,Norman Conquest of England
38,1066,Norman invasion of Wales
39,1066,Battle on the Nemiga River
40,1068,Battle of the Alta River
41,1068,Battle of Kerlés
42,1068,Kiev uprising of 1068
43,1071,Battle of Pedroso
44,1072,Battle of Golpejera
45,1072,Uprising of Georgi Voyteh
46,1073,Battle of Kerj Abu Dulaf
47,1073,Saxon Rebellion
48,1074,Georgian–Seljuk wars
49,1075,Lý–Song War
50,1075,Revolt of the Earls
51,1075,Varendra rebellion
52,1077,Great Saxon Revolt
53,1083,Gosannen War
54,1088,Rebellion of 1088
55,1096,"First Crusade_x000D_
Part of the Crusades"
56,1097,Chola invasion of Kalinga (1097)
57,1101,"Crusade of 1101_x000D_
Part of the Crusades"
58,1101,"Battle of Ramla (1101)_x000D_
Part of the Crusades"
59,1102,"Battle of Ramla (1102)_x000D_
Part of the Crusades"
60,1107,"Norwegian Crusade_x000D_
Part of the Crusades"
61,1110,Chola invasion of Kalinga (1110)
62,1113,"1113–15 Balearic Islands expedition_x000D_
Part of the Crusades"
63,1122,"Venetian Crusade_x000D_
Part of the Crusades"
64,1107,Muhammad Tapar's anti-Nizari campaign
65,1123,"Kalmare ledung_x000D_
Part of the Crusades"
66,1125,Jurchen campaigns against the Song dynasty
67,1127,Byzantine-Hungarian War (1127–29)
68,1130,Civil war era in Norway
69,1131,Danish Civil War
70,1135,The Anarchy
71,1144,Baussenque Wars
72,1145,"Second Crusade_x000D_
Part of the Crusades"
73,1147,"Northern Crusades_x000D_
Part of the Crusades"
74,1156,Hōgen Rebellion
75,1159,Heiji Rebellion
76,1169,Norman invasion of Ireland
77,1169,Pandyan Civil War (1169–1177)
78,1171,Byzantine–Venetian War of 1171
79,1173,Revolt of 1173–74
80,1177,"Battle of Montgisard_x000D_
Part of the Crusades"
81,1179,Battle of Loděnice (1179)
82,1179,"Battle of Marj Ayyun_x000D_
Part of the Crusades"
83,1179,"Battle of Jacob's Ford_x000D_
Part of the Crusades"
84,1180,Genpei War
85,1182,"Battle of Belvoir Castle_x000D_
Part of the Crusades"
86,1183,"Battle of Al-Fule_x000D_
Part of the Crusades"
87,1185,Uprising of Asen and Peter
88,1185,Battle of Loděnice (1185)
89,1187,"Battle of Cresson_x000D_
Part of the Crusades"
90,1187,"Battle of Hattin_x000D_
Part of the Crusades"
91,1187,Siege of Jerusalem
92,1189,"Third Crusade_x000D_
Part of the Crusades"
93,1191,Conquest of Cyprus
94,1197,"Crusade of 1197_x000D_
Part of the Crusades"
95,1198,"Livonian Crusade_x000D_
Part of the Crusades"
96,1201,War of the Antiochene Succession
97,1202,"Fourth Crusade_x000D_
Part of the Crusades"
98,1204,Intervention in Chaldia
99,1202,Anglo-Norman War (1202–04)
100,1202,Anglo-French War of 1202–1214
101,1203,Loon War
102,1204,Bulgarian–Latin wars
103,1206,Mongol invasions and conquests
104,1208,Lombard Rebellion
105,1209,"Albigensian Crusade_x000D_
Part of the Crusades"
106,1211,Welsh uprising of 1211
107,1213,"Fifth Crusade_x000D_
Part of the Crusades"
108,1214,Battle of Bouvines
109,1215,First Barons' War
110,1216,Mongol conquest of the Qara Khitai
111,1216,War of the Succession of Champagne
112,1221,Jōkyū War
113,1221,Battle of Genter
114,1228,"Sixth Crusade_x000D_
Part of the Crusades"
115,1228,War of the Lombards
116,1230,Friso-Drentic War
117,1230,Dernbacher Feud
118,1233,"Stedinger Crusade_x000D_
Part of the Crusades"
119,1235,"Bosnian Crusade_x000D_
Part of the Crusades"
120,1236,First war against Swietopelk II
121,1239,Teltow and Magdeburg Wars
122,1240,"Livonian campaign against Rus' _x000D_
Part of the Northern Crusades"
123,1242,Saintonge War
124,1242,Second war against Swietopelk II
125,1242,First Prussian Uprising
126,1244,War of the Flemish Succession
127,1247,War of the Thuringian Succession
128,1248,Genoese occupation of Rhodes
129,1248,"Seventh Crusade_x000D_
Part of the Crusades"
130,1250,Tumapel-Kediri war
131,1251,Shepherds' Crusade (1251)
132,1252,Third war against Swietopelk II
133,1256,War of the Euboeote Succession
134,1256,War of Saint Sabas
135,1257,Rebellion of Arbanon
136,1257,Epirote–Nicaean conflict (1257–59)
137,1260,Toluid Civil War
138,1260,Great Prussian Uprising
139,1260,Mongol invasions of the Levant
140,1262,Berke–Hulagu war
141,1262,Scottish–Norwegian War
142,1264,Hungarian Civil War (1264–1265)
143,1264,Second Barons' War
144,1266,"Battle of Benevento_x000D_
Part of Guelphs and Ghibellines"
145,1268,Mačva War
146,1268,Kaidu–Kublai war
147,1269,Catalan Crusade
148,1269,Civil war in Pomerelia
149,1270,Kelana Bhayangkara rebellion
150,1270,"Eighth Crusade_x000D_
Part of the Crusades"
151,1270,Sambyeolcho Rebellion
152,1271,"Ninth Crusade_x000D_
Part of the Crusades"
153,1272,War of the Cow
154,1274,Mongol invasions of Japan
155,1275,Manx revolt of 1275
156,1275,Pamalayu Expedition
157,1276,6000-mark war
158,1277,Uprising of Ivaylo
159,1277,Conquest of Wales by Edward I
160,1277,First Mongol invasion of Burma
161,1280,Mahisa Rangka rebellion
162,1280,Genoese–Mongol Wars
163,1282,War of the Sicilian Vespers
164,1283,War of the Limburg Succession
165,1284,Pabali Expedition
166,1285,Southwest Borneo Expedition
167,1289,War of the Outlaws
168,1292,Jayakatwang rebellion
169,1292,Mongol invasion of Java
170,1294,Majapahit invasion of Sambas
171,1294,Battle of Red Ford
172,1294,Anglo-French War of 1294–1303
173,1295,Ranggalawe rebellion
174,1295,War of Curzola
175,1296,Byzantine–Venetian War (1296–1302)
176,1296,First War of Scottish Independence
177,1297,Franco-Flemish War
178,1300,Second Mongol invasion of Burma
179,1300,Lembu Sora rebellion
180,1300,K'aissape–Hvalsey war
181,1303,Conquest of Sylhet
182,1308,Teutonic takeover of Danzig (Gdańsk)
183,1309,Crusade of the Poor
184,1311,Rebellion of mayor Albert
185,1311,Delhi–Seuna War
186,1314,Esen Buqa–Ayurbarwada war
187,1315,Battle of Morgarten
188,1315,Bruce campaign in Ireland
189,1316,Nambi rebellion
190,1318,Semi rebellion
191,1319,Ra Kuti rebellion
192,1320,Shepherds' Crusade (1320)
193,1321,Swedish–Novgorodian Wars
194,1321,Despenser War
195,1323,Peasant revolt in Flanders 1323–28
196,1324,War of Metz
197,1326,First War of the Rügen Succession
198,1326,War of Hum
199,1326,Polish–Teutonic War (1326–32)
200,1327,Tver Uprising of 1327
201,1328,War of the Two Capitals
202,1329,Bhre Sedang and Keta rebellion
203,1331,Serbian civil war of 1331
204,1331,Genkō War
205,1331,Eltz Feud
206,1332,Second War of Scottish Independence
207,1336,Nanboku-chō Wars
208,1337,Hundred Years' War
209,1340,Trapezuntine Civil War
210,1340,Majapahit invasion of Aru
211,1340,Galicia–Volhynia Wars
212,1340,Bulgarian–Ottoman Wars
213,1341,"War of the Breton Succession_x000D_
Part of the Hundred Years' War"
214,1341,Byzantine civil war of 1341–47
215,1342,Battle of Zava
216,1342,Thuringian Counts' War
217,1342,Second War of the Rügen Succession
218,1343,St. George's Night Uprising
219,1347,Neapolitan campaigns of Louis the Great
220,1348,Byzantine–Genoese War (1348–49)
221,1350,Hook and Cod wars
222,1351,Red Turban Rebellion
223,1352,Byzantine civil war of 1352–57
224,1353,Delhite invasion of Bengal (1353–1354)
225,1356,War of the Two Peters
226,1357,Ispah rebellion
227,1358,Jacquerie
228,1358,Delhite invasion of Bengal (1353–1354)
229,1362,War of the Bands
230,1363,Revolt of Saint Titus
231,1366,Castilian Civil War
232,1367,Cham–Vietnamese War (1367–1390)
233,1370,War of the Lüneburg Succession
234,1371,War of the Guelderian Succession
235,1373,Byzantine civil war of 1373–79
236,1375,War of the Eight Saints
237,1378,War of Chioggia
238,1378,"Tuchin Revolt_x000D_
Part of the Hundred Years' War"
239,1380,Battle of Kulikovo
240,1381,Peasants' Revolt
241,1381,Lithuanian Civil War (1381–84)
242,1381,Ming conquest of Yunnan
243,1382,Harelle
244,1382,Despenser's Crusade
245,1382,Greater Poland Civil War
246,1383,1383–85 Crisis
247,1380,Tokhtamysh–Timur war
248,1385,Dohna Feud
249,1385,Forty Years' War
250,1386,Timur's invasions of Georgia
251,1387,War of the Cities (1387–1389)
252,1389,Kronberger feud[de]
253,1398,Crusade of Tedelis
254,1399,Epiphany Rising
255,1399,Jingnan Campaign
256,1400,English invasion of Scotland
257,1400,Glyndŵr Rising
258,1401,First Samogitian Uprising
259,1402,Battle of Ankara
260,1402,Ottoman Interregnum
261,1402,Conquest of the Canary Islands
262,1403,Percy Rebellion
263,1404,Regreg war
264,1405,Scrope Rebellion
265,1405,First Scutari War
266,1406,Ming conquest of Đại Việt
267,1407,"Armagnac–Burgundian Civil War_x000D_
Part of the Hundred Years' War"
268,1407,Revolts of Trần princes
269,1409,Second Samogitian Uprising
270,1409,Polish–Lithuanian–Teutonic War
271,1410,Ming–Kotte War
272,1413,"Cabochien Revolt_x000D_
Part of the Hundred Years' War"
273,1413,Great Frisian War
274,1413,Korbach Feud
275,1414,Hunger War
276,1414,Oldcastle Revolt
277,1418,Lam Sơn uprising
278,1419,Ōei Invasion
279,1419,Second Scutari War
280,1419,Hussite Wars
281,1420,Lê Ngạ's Uprising
282,1420,Bavarian War
283,1421,"War of the Oxen_x000D_
Part of the Bavarian War"
284,1422,Siege of Constantinople (1422)
285,1422,Siege of Thessalonica (1422–1430)
286,1422,Gollub War
287,1423,War of L'Aquila
288,1425,Muscovite Civil War
289,1425,Wars in Lombardy
290,1426,Dano-Hanseatic War (1426–35)
291,1427,Mainz-Hessian War
292,1428,Shocho uprising
293,1428,Neville–Neville feud
294,1431,Polish–Teutonic War (1431–35)
295,1431,First Irmandiño
296,1431,Lithuanian Civil War (1431–35)
297,1432,Albanian Revolt of 1432–36
298,1434,Engelbrekt rebellion
299,1436,Pukefejden
300,1436,Luchuan–Pingmian campaigns
301,1437,Transylvanian peasant revolt
302,1438,Dutch–Hanseatic War
303,1440,Praguerie
304,1440,Old Zürich War
305,1444,Battle of Torvioll
306,1444,Soest Feud
307,1446,Saxon Fratricidal War
308,1446,Flower war
309,1447,Albanian–Venetian War
310,1447,Milanese War of Succession
311,1449,Tumu Crisis
312,1449,First Margrave War
313,1449,Revolt of Ghent (1449–53)
314,1449,Kotte conquest of the Jaffna Kingdom
315,1450,Jack Cade Rebellion
316,1451,Navarrese Civil War
317,1453,Fall of Constantinople
318,1453,Morea revolt of 1453–1454
319,1453,Percy–Neville feud
320,1454,Thirteen Years' War (1454–66)
321,1454,Flower war
322,1455,Bonville–Courtenay feud
323,1455,Wars of the Roses
324,1456,Siege of Belgrade (1456)
325,1456,Ayutthaya-Lan Na War
326,1457,Koshamain's War
327,1459,Bavarian War (1459–63)
328,1461,Rebellion of Cao Qin
329,1462,The Night Attack
330,1462,Catalan Civil War
331,1464,War of the Succession of Stettin
332,1465,1465 Moroccan revolt
333,1465,Ballaban's campaign of 1465
334,1465,War of the Public Weal
335,1465,Wars of Liège
336,1467,First Irmandiño
337,1467,"Ōnin War_x000D_
Part of the Sengoku Period"
338,1467,War of the Priests
339,1468,Bohemian War (1468–78)
340,1468,Böckler war[de]
341,1470,Chimor–Inca War
342,1470,Dano-Swedish War (1470–71)
343,1470,First Utrecht Civil War
344,1471,Cham–Vietnamese War (1471)
345,1473,Tenochtitlan-Tlatelolco Conflict
346,1474,Burgundian Wars
347,1475,War of the Castilian Succession
348,1476,Ottoman-Moldavian War of 1476
349,1477,Austrian–Hungarian War (1477–88)
350,1479,Vietnamese-Laotian War (1479–80)
351,1480,Siege of Rhodes (1480)
352,1480,Saltpeter War (Mexico)
353,1481,Second Utrecht Civil War
354,1482,War of Ferrara
355,1482,Granada War
356,1483,Buckingham's rebellion
357,1483,1483 Flemish Revolt
358,1484,Mieres Uprising
359,1485,Mad War
360,1486,Stafford and Lovell Rebellion
361,1486,Simmel Rebellion
362,1487,Kaga Rebellion
363,1487,1487 Flemish Revolt
364,1487,War of Rovereto
365,1489,Yorkshire rebellion 1489
366,1491,Bread and Cheese Revolt
367,1492,First Muscovite–Lithuanian War
368,1493,Bundschuh movement
369,1494,Italian War of 1494–98
370,1495,Russo-Swedish War (1495–97)
